,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1867.8013426303864,34.284947099972406,1.6595169067382813,0.04334158984812799,800,6,1,50,False,"{'n_estimators': 800, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 50, 'bootstrap': False}",-7.547957877564817,-7.483357129083902,-7.611376143150398,-7.507265598039236,-7.387860163282022,-7.507563382224075,0.07392387513729916,52,-1.9556759726272175,-2.0006916908326398,-1.9796013682299929,-2.135737150762178,-2.029927514041503,-2.020326739298706,0.0626666586918279
1,1164.991160774231,38.12431082881577,1.2034647464752197,0.035082412934203014,800,6,3,30,False,"{'n_estimators': 800, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 30, 'bootstrap': False}",-7.91829624431653,-7.6170357114710825,-7.720379487606129,-7.620284220832454,-7.607896494712989,-7.696778431787837,0.11809946282233076,76,-4.779714423289127,-4.762907330239509,-4.528399542692585,-4.725739487781261,-4.667259494927908,-4.692804055786079,0.09081188497577007
2,541.546467590332,13.720679712559951,0.6424901962280274,0.023635355184508714,400,2,1,30,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': True}",-7.023542709298923,-6.919771983401841,-6.920232914083517,-6.992488749618271,-6.94211851001611,-6.9596309732837325,0.0415017493100573,23,-4.303534065068063,-4.489460775239824,-4.336861072756807,-4.383871372363878,-4.395273218920172,-4.381800100869749,0.0631216674197837
3,1464.216082763672,9.291609763214833,1.9175049304962157,0.02934966985291637,1200,10,4,100,True,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 100, 'bootstrap': True}",-7.096163815386386,-6.918870472892397,-7.023065131851644,-7.049139078111042,-6.9978339711716,-7.0170144938826144,0.05887844348109908,31,-4.826480631610261,-4.842706555094558,-4.849623238960006,-4.812656261917061,-4.85866287423061,-4.838025912362499,0.016487590892013328
4,1462.8871150493621,4.33104672003363,1.8782750129699708,0.022402595396521698,1200,10,4,90,True,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 90, 'bootstrap': True}",-7.093834380833182,-6.919668029154445,-7.0228331085442575,-7.053399402320794,-6.99531209058655,-7.0170094022878455,0.05866232392943451,30,-4.823958406357766,-4.843258025350045,-4.853258647536318,-4.814805902325732,-4.8580937431043845,-4.838674944934849,0.016715779567678012
5,758.0544675827026,49.825281813190756,1.0224315166473388,0.05536195627934433,1000,10,3,20,False,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 20, 'bootstrap': False}",-7.9545191410691505,-7.6311444552302445,-7.7090371377227775,-7.715089196799343,-7.853403409659176,-7.772638668096138,0.11574209131992037,84,-6.5151301230481415,-6.571731995908657,-6.178250695907098,-6.387730185113474,-6.491132991809033,-6.428795198357281,0.13872961531610786
6,266.04171385765073,4.283464986114328,0.688738203048706,0.02294175510048103,1200,6,1,10,True,"{'n_estimators': 1200, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",-8.256315098800165,-8.147445936058748,-8.149148150363219,-8.236174912966023,-8.194225451340264,-8.196661909905684,0.04428427737703185,93,-7.932095112347024,-7.979150185674682,-7.9434226927091816,-7.939357516010276,-7.955574141339816,-7.949919929616195,0.016479567705179304
7,795.5395935535431,5.788851438976249,0.9801328182220459,0.030012613710215023,600,6,3,40,True,"{'n_estimators': 600, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 40, 'bootstrap': True}",-7.003251751076482,-6.851537488970394,-6.933914426882631,-6.974159000121257,-6.891798927939237,-6.930932318998001,0.05466717573716769,17,-4.332741430475404,-4.411211639022143,-4.372947041972088,-4.361804850971855,-4.402035688848957,-4.376148130258089,0.028283329187223927
8,620.9132170200348,39.60295316757528,0.8311223983764648,0.02279882128717374,800,6,4,20,False,"{'n_estimators': 800, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': False}",-7.897271594805139,-7.64977768182467,-7.7886983186030925,-7.778312263276516,-7.8916368255112666,-7.801139336804137,0.09057307691417543,89,-6.500994242152647,-6.549243045655357,-6.16284524403543,-6.357757951731302,-6.471607363618518,-6.40848956943865,0.1380343023463013
9,1700.011579799652,7.318787971758768,2.094051170349121,0.05487003823098921,1200,6,3,90,True,"{'n_estimators': 1200, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 90, 'bootstrap': True}",-6.973150378104443,-6.809177437465122,-6.901726685755111,-6.93619775777568,-6.86326410842169,-6.89670327350441,0.05693532909543645,13,-4.1253745996859985,-4.139052288445852,-4.146655000281378,-4.114221966885029,-4.151383947219158,-4.1353375605034834,0.0137440827671513
